Nr platnika;Nr punktu poboru energii;Rodzaj energii;Data i godzina;Strefa;Wartosc[kWh/kvar];Kompletno¶æ[%]
xxx;PPE:xxx;energia czynna oddana;2022-07-06 17:00;Ca³a doba;1,408;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 18:00;Ca³a doba;0,489;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 19:00;Ca³a doba;0,088;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 20:00;Ca³a doba;0,002;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 06:00;Ca³a doba;0,022;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 07:00;Ca³a doba;0,165;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 08:00;Ca³a doba;0,291;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 09:00;Ca³a doba;0,685;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 10:00;Ca³a doba;0,945;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 11:00;Ca³a doba;1,534;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 12:00;Ca³a doba;2,015;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 13:00;Ca³a doba;1,601;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 14:00;Ca³a doba;1,698;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 15:00;Ca³a doba;1,428;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 16:00;Ca³a doba;0,939;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 17:00;Ca³a doba;0,680;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 18:00;Ca³a doba;0,561;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 19:00;Ca³a doba;0,301;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 20:00;Ca³a doba;0,172;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 21:00;Ca³a doba;0,011;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-07 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 06:00;Ca³a doba;0,005;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 07:00;Ca³a doba;0,045;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 08:00;Ca³a doba;0,070;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 09:00;Ca³a doba;0,206;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 10:00;Ca³a doba;0,503;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 11:00;Ca³a doba;0,991;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 12:00;Ca³a doba;1,315;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 13:00;Ca³a doba;1,366;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 14:00;Ca³a doba;1,914;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 15:00;Ca³a doba;1,706;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 16:00;Ca³a doba;0,670;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 17:00;Ca³a doba;0,872;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 18:00;Ca³a doba;0,648;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 19:00;Ca³a doba;0,094;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 20:00;Ca³a doba;0,055;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-08 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 06:00;Ca³a doba;0,031;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 07:00;Ca³a doba;0,126;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 08:00;Ca³a doba;0,258;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 09:00;Ca³a doba;0,639;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 10:00;Ca³a doba;1,100;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 11:00;Ca³a doba;1,635;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 12:00;Ca³a doba;1,935;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 13:00;Ca³a doba;2,406;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 14:00;Ca³a doba;1,977;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 15:00;Ca³a doba;1,658;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 16:00;Ca³a doba;0,757;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 17:00;Ca³a doba;0,798;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 18:00;Ca³a doba;0,708;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 19:00;Ca³a doba;0,190;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 20:00;Ca³a doba;0,078;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 21:00;Ca³a doba;0,005;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-09 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 06:00;Ca³a doba;0,014;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 07:00;Ca³a doba;0,062;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 08:00;Ca³a doba;0,260;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 09:00;Ca³a doba;0,489;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 10:00;Ca³a doba;0,700;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 11:00;Ca³a doba;1,174;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 12:00;Ca³a doba;0,783;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 13:00;Ca³a doba;1,365;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 14:00;Ca³a doba;0,961;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 15:00;Ca³a doba;0,479;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 16:00;Ca³a doba;1,282;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 17:00;Ca³a doba;0,813;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 18:00;Ca³a doba;0,518;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 19:00;Ca³a doba;0,214;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 20:00;Ca³a doba;0,080;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-10 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-11 06:00;Ca³a doba;0,013;100,00
